Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Income or wealth quantile,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,Country Data,LMs-Las,Annual,National,10.1.1 Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,Cambodia,Bottom 40%,Percent,2020,5.2
2020,Normal value,Units,Country Data,LMs-Las,Annual,National,10.1.1 Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,Cambodia,Bottom 40%,Percent,2020,9.2
