Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MPTC,Annual,National,"17.6.1 Percentage of population connect to Fixed Internet broadband subscriptions, by speed",Cambodia,Percent,2020,0.54
2016,Normal value,Units,Country Data,MPTC,Annual,National,"17.6.1 Percentage of population connect to Fixed Internet broadband subscriptions, by speed",Cambodia,Percent,2020,0.62
2017,Normal value,Units,Country Data,MPTC,Annual,National,"17.6.1 Percentage of population connect to Fixed Internet broadband subscriptions, by speed",Cambodia,Percent,2020,0.86
2018,Normal value,Units,Country Data,MPTC,Annual,National,"17.6.1 Percentage of population connect to Fixed Internet broadband subscriptions, by speed",Cambodia,Percent,2020,0.94
2019,Normal value,Units,Country Data,MPTC,Annual,National,"17.6.1 Percentage of population connect to Fixed Internet broadband subscriptions, by speed",Cambodia,Percent,2020,1.35
2020,Normal value,Units,Country Data,MPTC,Annual,National,"17.6.1 Percentage of population connect to Fixed Internet broadband subscriptions, by speed",Cambodia,Percent,2020,1.53
