From,To
Nature of data points,Source details
Source details,Frequency of observation
Frequency of observation,Reporting type
Reporting type,Reference area
Reference area,Age
Time period details,Sex
Age,Time period details
Time period details,Degree of urbanisation
Time period details,Income or wealth quantile
