Value,en,Disaggregation combinations using this value,Number of indicators
HA,Hectares,3,3
LIVE_BIRTHS_PER_WOMAN,Live births per woman,35,1
NUMBER,Number,73,23
PER_100_LIVE_BIRTHS,Per 100 live births,76,2
PER_1000_POP,"Per 1,000 population",4,4
PER_100000_LIVE_BIRTHS,"Per 100,000 live births",25,1
PER_100000_POP,"Per 100,000 population",2,2
PT,Percent,436,93
T_OE,Tons oil equivalent,1,1
T,Metric Tons,5,4
USD_PER_FARMER,USD per farmer,1,1
USD_PER_HA,USD per Hectare,1,1
USD,USD,1,1
Y,Years,81,1
