Value,en,Disaggregation combinations using this value,Number of indicators
2000,2000,23,6
2008-2009,2008-2009,6,2
2008,2008,106,3
2010,2010,19,1
2013,2013,6,1
2014,2014,176,8
2016,2016,2,2
2017,2017,2,2
2018,2018,18,17
2019-2020,2019-2020,243,8
2019,2019,17,7
2020,2020,126,96
