Value,en,Disaggregation combinations using this value,Number of indicators
AGG_2_3,Secondary education (lower and upper secondary education),1,1
ISCED11_02,Pre-primary education,1,1
ISCED11_1,Primary education,1,1
ISCED11_3,Upper secondary education,28,1
