Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,Country Data,MAFF,Annual,National,14.b.1 Percentage of marine resources  which  small-scale fisheries farmers harvested and sold in a stable marke,Cambodia,Percent,2020,70
2017,Normal value,Units,Country Data,MAFF,Annual,National,14.b.1 Percentage of marine resources  which  small-scale fisheries farmers harvested and sold in a stable marke,Cambodia,Percent,2020,70
2018,Normal value,Units,Country Data,MAFF,Annual,National,14.b.1 Percentage of marine resources  which  small-scale fisheries farmers harvested and sold in a stable marke,Cambodia,Percent,2020,70
2019,Normal value,Units,Country Data,MAFF,Annual,National,14.b.1 Percentage of marine resources  which  small-scale fisheries farmers harvested and sold in a stable marke,Cambodia,Percent,2020,70
2020,Normal value,Units,Country Data,MAFF,Annual,National,14.b.1 Percentage of marine resources  which  small-scale fisheries farmers harvested and sold in a stable marke,Cambodia,Percent,2020,70
